removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc
0.0,0,1.0,300,1,4.809386845039019
0.03333333333333333,10,0.9666666666666667,290,1,5.272091635842978
0.06666666666666667,20,0.9333333333333333,280,1,5.711674347158218
0.1,30,0.9,270,1,6.030097755748313
0.13333333333333333,40,0.8666666666666667,260,1,6.663468963468963
0.16666666666666666,50,0.8333333333333334,250,1,9.454971887550201
0.2,60,0.8,240,1,11.637273361227336
0.23333333333333334,70,0.7566666666666667,227,2,13.354684027913141
0.26666666666666666,80,0.7166666666666667,215,3,13.744968485111933
0.3,90,0.5966666666666667,179,6,10.681250392316867
0.3333333333333333,100,0.5966666666666667,179,10,10.681250392316867
0.36666666666666664,110,0.5666666666666667,170,12,10.526975287156283
0.4,120,0.52,156,14,10.95963606286187
0.43333333333333335,130,0.47,141,19,10.452988855116514
0.4666666666666667,140,0.43666666666666665,131,19,12.863769817968292
0.5,150,0.4033333333333333,121,19,14.529889807162535
0.5333333333333333,160,0.30666666666666664,92,25,9.876493072145246
0.5666666666666667,170,0.3,90,27,9.635955056179775
0.6,180,0.25333333333333335,76,30,7.888421052631579
0.6333333333333333,190,0.2,60,33,6.650847457627119
0.6666666666666666,200,0.16,48,34,6.289007092198582
0.7,210,0.11333333333333333,34,36,5.090909090909091
0.7333333333333333,220,0.05333333333333334,16,40,2.691666666666667
0.7666666666666667,230,0.013333333333333334,4,42,1.6666666666666667
0.8,240,0.013333333333333334,4,39,1.6666666666666667
0.8333333333333334,250,0.013333333333333334,4,34,1.6666666666666667
0.8666666666666667,260,0.013333333333333334,4,28,1.6666666666666667
0.9,270,0.01,3,22,1.3333333333333333
0.9333333333333333,280,0.01,3,15,1.3333333333333333
0.9666666666666667,290,0.0033333333333333335,1,10,0.0
1.0,300,0.0,0,0,0.0
