removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc,algebraic_connectivity_gcc,spectral_gap_ratio_gcc,kirchhoff_index_gcc
0.0,0,1.0,200,1,3.0167336683417085,0.8232495553420744,20.42776716843203,8986.67894549321
0.005,1,0.995,199,1,3.042332876503731,0.8230619206246009,19.656111849914826,9104.781544505837
0.01,2,0.99,198,1,3.0736296979951803,0.8178724706388909,19.753332734334734,9405.607965210862
0.015,3,0.985,197,1,3.09680928208847,0.7872509163386527,19.65860400969024,9447.826993029048
0.02,4,0.98,196,1,3.1202511773940347,0.7851808180416509,19.670689281301666,9618.012543290639
0.025,5,0.975,195,1,3.1404705260375363,0.7848691640267877,18.080010194466954,9666.441485134546
0.03,6,0.97,194,1,3.1596068586079804,0.7842274927450081,17.581790442058953,9746.422065335428
0.035,7,0.965,193,1,3.1816709844559585,0.780732940621239,17.381126344869422,9809.210791045856
0.04,8,0.96,192,1,3.2048974694589876,0.771317850605684,17.471063238095763,9902.663744812628
0.045,9,0.955,191,1,3.2227610912096996,0.7706926654817651,17.459862390398683,9982.087862257282
0.05,10,0.95,190,1,3.2383737120579226,0.7667633087907111,17.45339215294984,10066.261972605374
0.055,11,0.945,189,1,3.2585275244849714,0.7610620013893099,17.573919054595276,10119.600264285395
0.06,12,0.94,188,1,3.288542496302196,0.7591127210469999,17.523955356576018,10215.092147258729
0.065,13,0.935,187,1,3.318785578747628,0.7558927075555025,17.096408578549553,10296.588905305045
0.07,14,0.93,186,1,3.3419354838709676,0.7534389323502626,16.349350160055565,10342.446254566585
0.075,15,0.925,185,1,3.358578143360752,0.751073553110557,16.391922584085837,10507.610600077296
0.08,16,0.92,184,1,3.3728914231408886,0.7387161022644599,16.443321948750313,10546.696017152084
0.085,17,0.91,182,2,3.3860724910448665,0.7284118903879717,16.67410119138855,10468.750267245892
0.09,18,0.905,181,2,3.391037446286065,0.7265696892383979,16.708947564189277,10476.439146572244
0.095,19,0.9,180,2,3.40391061452514,0.7187876044087997,16.87840839448891,10585.124508328741
0.1,20,0.895,179,2,3.416734668256858,0.7158922568364198,16.81801650033707,10569.066656668629
0.105,21,0.89,178,2,3.4346473687551575,0.7147000508362339,16.713654138037803,10596.807366998773
0.11,22,0.885,177,2,3.46102978941962,0.6023323063317929,19.82589918270087,10799.54545969095
0.115,23,0.88,176,2,3.490974025974026,0.5989383059076504,19.93453617460444,10896.473676937283
0.12,24,0.875,175,2,3.525254515599343,0.5506189104740193,21.65040091829944,11097.477423837427
0.125,25,0.87,174,2,3.5686665337851307,0.5474046069502183,20.815585914856957,11327.333400809935
0.13,26,0.865,173,2,3.594233095846216,0.5377548183889286,20.71037869655998,11375.427243767028
0.135,27,0.86,172,2,3.6028151774785804,0.5375583260734708,20.479146351486733,11308.918248785478
0.14,28,0.85,170,3,3.602993386703794,0.5345372847581578,20.592721623114116,11032.579917431365
0.145,29,0.845,169,3,3.6358129050436743,0.4807059595486798,22.88916112177667,11300.005410675487
0.15,30,0.84,168,3,3.656187624750499,0.4801402102695964,22.898267355397515,11346.046627326565
0.155,31,0.83,166,4,3.68236582694414,0.4702106128553558,23.366185977465562,11112.493937161178
0.16,32,0.825,165,4,3.7237250554323724,0.4674252391507416,21.838000662533187,11238.966338399276
0.165,33,0.82,164,4,3.7391141702828072,0.46457148777181967,21.96897527552116,11275.253314045445
0.17,34,0.815,163,4,3.758766946906006,0.46445903140186107,21.934208700834592,11253.37458638106
0.175,35,0.81,162,4,3.7967947243309563,0.45840374761772507,22.188740924278232,11494.956387006265
0.18,36,0.805,161,4,3.838742236024845,0.3744886429937937,27.14292549477059,11761.906317085655
0.185,37,0.795,159,5,3.870153650187087,0.3735166258083798,26.723821469054492,11655.614625618548
0.19,38,0.79,158,5,3.902201080383778,0.37333753519938906,26.717721523875465,11771.723536361209
0.195,39,0.785,157,5,3.9220970112689857,0.3476463661754951,28.680519940752635,11780.624775141427
0.2,40,0.775,155,6,3.9550900712191033,0.3469199823159749,28.06387210645744,11617.647175975519
0.205,41,0.77,154,6,3.9862490450725745,0.3465181780243405,27.85203699614035,11682.756700718764
0.21,42,0.765,153,6,4.005159958720331,0.34474665769626955,27.941479123777345,11650.329419844058
0.215,43,0.76,152,6,4.034942488672011,0.33641232419502154,28.629575090429043,11710.941569309636
0.22,44,0.755,151,6,4.034348785871964,0.33437699453197167,28.80365797343997,11756.15896170205
0.225,45,0.75,150,6,4.069888143176734,0.3313223992185662,29.055002827333283,11808.063372077955
0.23,46,0.745,149,6,4.077997460547796,0.3309813151049177,29.066243137624564,11827.881059167721
0.235,47,0.74,148,6,4.103603603603603,0.323454291937298,29.7420516490037,12053.74886436252
0.24,48,0.735,147,6,4.156183021153667,0.20895945939302304,46.02727800041455,12623.252808636327
0.245,49,0.73,146,6,4.198393953708077,0.2086016468756639,45.96644578449147,13079.375084291334
0.25,50,0.725,145,6,4.243486590038314,0.1999052332851263,47.302196528287084,13122.69011257922
0.255,51,0.72,144,6,4.3262432012432015,0.1512021783506855,62.511415238887366,13416.755691168622
0.26,52,0.715,143,6,4.413670836206047,0.15113497534151832,59.405392607204355,13568.77638979697
0.265,53,0.705,141,7,4.473556231003039,0.14495530911210475,61.7921920929307,13697.602285068462
0.27,54,0.69,138,9,4.426319686871892,0.15351454624103486,58.34482597929569,12973.045967423464
0.275,55,0.685,137,9,4.467904680120223,0.15302072899583313,58.29726345527019,13026.517007566648
0.28,56,0.68,136,9,4.517320261437908,0.15253717890223664,58.41267708612032,13164.679359659833
