removed_fraction,removed_nodes,gcc_fraction,gcc_size,num_components,avg_shortest_path_gcc,algebraic_connectivity_gcc,spectral_gap_ratio_gcc,kirchhoff_index_gcc
0.0,0,1.0,200,1,3.2727638190954775,0.7026501258934928,21.02979304138152,10924.285099458479
0.005,1,0.995,199,1,3.2802395817471193,0.7025982306012963,21.030681549507264,10895.502758014796
0.01,2,0.99,198,1,3.2879044249602627,0.6804209818409799,21.713604770001346,10993.999316830534
0.015,3,0.985,197,1,3.288407748886357,0.6804530465710502,21.709166446442826,10927.783227640315
0.02,4,0.98,196,1,3.2941915227629512,0.6804247594819326,21.696162124001106,10889.344331225031
0.025,5,0.975,195,1,3.2862278614855933,0.6803395078650561,21.69833059383217,10726.537051740688
0.03,6,0.97,194,1,3.3041504193152074,0.6792554736599221,20.400764967026408,10746.281452829024
0.035,7,0.965,193,1,3.3028389464594126,0.6788759403185347,20.41214298121331,10641.78835410343
0.04,8,0.96,192,1,3.305519197207679,0.678751918240961,20.415835260663155,10576.006003004528
0.045,9,0.955,191,1,3.306861394323505,0.6786384527683579,20.39225378891059,10524.778685669971
0.05,10,0.95,190,1,3.315510999721526,0.6748052864374324,20.49981617805049,10497.295613386852
0.055,11,0.945,189,1,3.311944163007993,0.6742754994841925,20.515467799659266,10406.248742370484
0.06,12,0.94,188,1,3.3333712595289566,0.6714080465956209,20.59916687496463,10478.46687360582
0.065,13,0.935,187,1,3.329538266919671,0.6705933910029178,20.60488180556848,10366.209940517681
0.07,14,0.93,186,1,3.3282766637605348,0.670631445842823,20.588436444183678,10255.743730658303
0.075,15,0.925,185,1,3.3321974148061106,0.668692197726101,20.64809143726502,10257.540515195727
0.08,16,0.92,184,1,3.3355904015205513,0.6629371095284445,20.67769916974202,10213.350640662034
0.085,17,0.915,183,1,3.331051462199003,0.6630037345111182,20.675583122486696,10125.85917045642
0.09,18,0.91,182,1,3.327970372169267,0.6632328400576409,20.667794879219826,10034.351894771296
0.095,19,0.905,181,1,3.331430325352977,0.6630579095679807,20.672843450582622,9994.846187265955
0.1,20,0.9,180,1,3.3341402855369338,0.6466375023655653,21.150381529448826,9936.284516342352
0.105,21,0.895,179,1,3.342665243864164,0.6466349709843799,21.131732817915946,9929.614211532267
0.11,22,0.89,178,1,3.342982289087793,0.6466363688285851,21.07493190598671,9824.60825910848
0.115,23,0.88,176,2,3.3444155844155845,0.6428932557731912,21.194876724916746,9590.853443947839
0.12,24,0.875,175,2,3.3449589490968803,0.6423081117905042,21.212360999939555,9486.467053634124
0.125,25,0.87,174,2,3.363098797422098,0.6410666536274537,21.246636264383472,9479.59166298475
0.13,26,0.865,173,2,3.3719585965855625,0.6410264050219547,21.247820136636406,9459.279397746306
0.135,27,0.86,172,2,3.392560859513124,0.5832998193551588,23.346806705915323,9585.4327814233
0.14,28,0.855,171,2,3.3985552115583078,0.5831726386185152,23.34546576520029,9545.488485645728
0.145,29,0.85,170,2,3.408980160111382,0.5828569208513175,23.35579672141117,9522.622149463654
0.15,30,0.845,169,2,3.3977881093265707,0.5945910901873362,22.89486848693318,9390.167276262096
0.155,31,0.84,168,2,3.4084687767322497,0.5890295137942593,23.109077200011146,9376.812015772855
0.16,32,0.835,167,2,3.4196666907149558,0.5890503973356942,21.62172358376584,9334.184637318584
0.165,33,0.83,166,2,3.4242424242424243,0.5891340902623361,21.616556918927152,9328.164167027224
